City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
roebourne,86.55,17,0,7.45,-20.77,117.15
rumilly,62.71,87,0,5.82,45.87,5.94
outlook,65.04,82,12,4.88,51.48,-107.04
vila velha,78.8,65,0,16.11,-3.71,-38.6
letlhakane,44.7,95,0,14.27,-21.42,25.59
karpogory,71.25,71,0,6.33,64.0,44.44
raton,79.09,38,1,10.29,36.9,-104.44
kununurra,91.4,7,0,14.99,-15.77,128.74
sisimiut,39.75,98,92,3.2,66.94,-53.67
tianpeng,96.09,64,20,5.88,28.88,112.34
komsomolskiy,62.52,61,0,4.43,67.55,63.78
bud,54.81,100,40,4.7,62.91,6.91
sassandra,75.93,99,88,7.67,4.95,-6.09
bulgan,75.3,66,0,4.54,48.81,103.53
kaseda,82.72,94,90,10.29,31.42,130.32
esfarayen,82.4,32,0,2.24,37.08,57.51
namatanai,79.17,100,80,6.67,-3.66,152.44
anadyr,53.6,93,90,29.08,64.73,177.51
gao,80.52,72,8,6.55,16.28,-0.04
nadym,62.7,41,0,6.22,65.53,72.51
taybad,93.3,17,0,18.75,34.74,60.78
kudahuvadhoo,78.9,100,80,11.48,2.67,72.89
upington,46.4,64,0,8.05,-28.46,21.24
tynda,76.2,47,0,3.53,55.15,124.74
kasongo-lunda,62.07,80,0,4.21,-6.48,16.82
kenai,58.15,76,20,14.99,60.55,-151.26
belaya gora,70.08,48,12,10.36,68.54,146.19
muros,59.0,100,20,5.82,42.77,-9.06
glace bay,53.6,93,20,5.82,46.2,-59.96
zhigansk,70.44,42,80,12.48,66.77,123.37
biak,78.18,99,80,4.76,-0.91,122.88
jalu,79.98,38,0,8.79,29.03,21.55
mae ramat,78.8,78,90,1.12,16.98,98.52
gidam,74.04,100,92,9.69,18.98,81.4
dronninglund,63.24,65,56,15.95,57.16,10.29
acapulco,82.4,83,20,2.24,16.86,-99.88
batemans bay,53.43,72,0,12.71,-35.71,150.18
broome,57.56,93,88,1.12,52.47,1.45
san policarpo,88.71,80,12,14.72,12.18,125.51
barra patuca,82.32,89,0,12.48,15.8,-84.28
lavrentiya,43.62,95,92,8.01,65.58,-170.99
port hardy,59.0,67,20,10.29,50.7,-127.42
prado,77.28,93,76,11.25,-17.34,-39.22
wilmington,67.19,77,1,9.35,39.75,-75.55
sao joao da barra,74.4,96,0,20.09,-21.64,-41.05
saint-philippe,65.64,68,1,6.93,45.36,-73.48
clemson,73.44,100,90,3.36,34.69,-82.84
marsh harbour,83.31,100,48,12.82,26.54,-77.06
sorong,82.14,100,76,8.9,-0.86,131.25
bathsheba,80.6,74,20,23.04,13.22,-59.52
north bend,56.23,76,1,25.28,43.41,-124.22
dongsheng,98.25,60,0,7.11,29.72,112.52
taicheng,80.52,100,92,8.68,22.25,112.8
pierre,66.2,88,1,8.05,44.37,-100.35
nanortalik,38.4,98,64,3.87,60.14,-45.24
te anau,46.95,75,8,14.94,-45.41,167.72
iqaluit,41.0,86,20,2.24,63.75,-68.52
namwala,52.62,95,48,10.13,-15.75,26.45
port hedland,86.0,19,0,17.22,-20.31,118.58
pedra azul,54.6,97,12,3.2,-16.01,-41.28
leh,47.67,70,20,1.07,34.16,77.58
thunder bay,59.0,93,75,8.05,48.41,-89.26
ulladulla,57.2,35,20,27.51,-35.36,150.48
huarmey,51.45,89,8,0.4,-10.07,-78.15
ponta do sol,49.65,87,0,3.09,-20.63,-46
la ronge,66.2,68,75,6.93,55.1,-105.3
raudeberg,54.81,93,20,3.36,61.99,5.14
erzin,77.88,74,40,12.75,36.95,36.2
fort nelson,66.2,59,75,5.82,58.81,-122.69
carndonagh,57.12,96,92,12.15,55.25,-7.27
borgarnes,48.2,87,90,5.82,64.54,-21.92
ban nahin,74.85,100,92,5.21,18.24,104.21
planadas,80.6,61,75,2.24,3.2,-75.65
atar,73.5,65,0,2.75,20.52,-13.05
lebanon,57.25,87,1,1.92,43.64,-72.25
svetlogorsk,62.6,93,90,11.18,53.14,59.15
sampit,90.87,64,24,9.69,-2.54,112.95
aripuana,77.1,81,0,2.08,-9.17,-60.63
cabedelo,69.8,88,75,5.82,-6.97,-34.84
santa maria,80.6,51,0,12.75,-29.69,-53.81
havelock,73.71,94,1,4.7,34.88,-76.9
broken hill,56.4,52,24,13.38,-31.97,141.45
asosa,68.82,87,44,3.98,10.07,34.53
meadow lake,60.18,81,0,4.76,54.13,-108.44
phek,88.26,64,68,1.3,25.7,94.46
pacasmayo,62.79,100,64,15.84,-7.4,-79.57
belgrade,63.48,88,0,8.05,44.82,20.46
saint-georges,55.68,79,0,3.76,46.12,-70.67
black river,82.4,83,20,5.82,18.03,-77.85
duluth,63.81,93,90,6.93,46.77,-92.13
port-gentil,73.68,98,80,11.7,-0.72,8.78
tuscaloosa,77.0,83,1,4.7,33.21,-87.57
ngunguru,56.94,100,36,1.97,-35.62,174.5
altay,59.64,70,20,3.09,47.83,88.13
dickinson,69.8,60,1,8.05,46.88,-102.79
grootfontein,38.85,79,24,5.1,-19.56,18.1
thinadhoo,80.25,100,88,8.68,0.53,72.93
staryy nadym,62.7,41,0,6.22,65.61,72.68
san juan,29.94,70,0,3.42,-31.54,-68.53
belmonte,53.07,87,8,3.76,40.36,-7.35
troitskoye,76.83,50,0,3.65,52.98,84.68
kloulklubed,86.88,74,90,11.41,7.04,134.26
mayo,66.2,42,90,10.29,63.59,-135.9
solano,76.02,89,68,2.75,16.52,121.18
oktyabrskoye,66.75,93,64,5.44,56.73,85.44
tateyama,93.2,56,20,6.93,36.66,137.31
awbari,76.92,30,0,4.43,26.59,12.77
iwanai,71.61,82,64,9.8,42.97,140.51
flin flon,69.36,53,0,6.22,54.77,-101.88
magomeni,77.46,66,20,10.47,-6.8,39.25
moron,73.4,94,20,2.42,10.49,-68.2
hualmay,54.6,97,48,4.43,-11.1,-77.61
kidal,86.91,33,68,1.74,18.44,1.41
kavaratti,83.04,95,88,25.01,10.57,72.64
alice springs,62.6,39,0,10.29,-23.7,133.88
port augusta,57.2,54,40,10.29,-32.49,137.76
buala,82.05,87,92,10.13,-8.15,159.59
moose factory,64.4,82,90,8.05,51.26,-80.61
alofi,78.8,78,8,6.93,-19.06,-169.92
ahipara,52.08,97,8,3.42,-35.17,173.16
baoqing,86.28,73,48,8.9,46.32,132.2
melo,62.07,99,92,9.69,-32.37,-54.17
havre-saint-pierre,53.6,87,75,2.24,50.23,-63.6
udachnyy,39.3,100,92,8.23,66.42,112.4
coruripe,76.92,95,88,14.05,-10.12,-36.18
pacific grove,59.95,93,90,4.7,36.62,-121.92
gorontalo,88.35,54,36,4.88,0.54,123.06
hirara,86.92,74,75,14.99,24.8,125.28
pangnirtung,41.64,70,0,7.11,66.15,-65.72
rawson,39.3,79,92,10.58,-43.3,-65.11
vintila voda,71.25,99,44,5.44,45.47,26.72
yar-sale,54.6,74,0,7.45,66.83,70.83
zyryanka,59.73,47,0,5.99,65.73,150.89
pa daet,78.8,94,40,5.82,19.5,99.99
qasigiannguit,44.6,75,36,12.75,68.82,-51.19
oudtshoorn,71.6,21,0,17.22,-33.59,22.2
burnie,50.91,100,0,26.02,-41.05,145.91
bam,97.17,10,0,8.01,29.11,58.36
cockburn town,82.41,98,88,19.53,21.46,-71.14
mount gambier,50.55,82,92,8.68,-37.83,140.78
sackville,57.2,87,20,5.82,45.9,-64.37
lewistown,72.48,77,1,10.29,40.39,-90.15
sahuaripa,75.21,65,0,0.96,29.05,-109.23
quatre cocos,71.6,60,75,12.75,-20.21,57.76
khatanga,44.16,73,76,16.73,71.98,102.47
beloha,67.83,62,0,16.51,-25.17,45.06
katherine,89.6,17,0,13.87,-14.47,132.26
aberdeen,62.6,88,1,5.21,45.47,-98.49
la tuque,59.73,78,0,4.43,47.44,-72.79
prince rupert,55.4,93,90,4.7,54.32,-130.32
santiago,35.6,74,0,2.24,-33.44,-70.65
manokwari,84.21,97,0,8.01,-0.87,134.08
nouadhibou,69.8,83,0,9.17,20.93,-17.03
santa cruz de tenerife,65.82,100,44,19.46,28.47,-16.25
araguaina,69.18,55,8,5.99,-7.19,-48.21
borovoy,70.35,80,0,8.46,63.23,52.89
poronaysk,66.21,95,68,2.98,49.22,143.1
geraldton,62.6,77,40,3.36,49.72,-86.95
charyshskoye,75.75,46,0,8.46,51.4,83.56
sitka,72.78,79,0,2.3,37.17,-99.65
mapiri,45.6,91,36,2.42,-15.31,-68.22
touros,74.4,85,20,10.58,-5.2,-35.46
kaeo,51.27,80,88,2.64,-35.1,173.78
caboolture,70.5,49,0,10.29,-27.08,152.95
high level,62.6,82,75,2.24,58.52,-117.13
barabai,89.61,66,32,2.98,-2.59,115.38
marzuq,85.65,27,80,2.64,14.4,46.47
talnakh,42.99,72,56,12.82,69.49,88.39
maniitsoq,41.46,97,92,13.71,65.42,-52.9
dzerzhinskoye,72.24,67,76,3.42,56.84,95.22
salinas,59.9,82,90,9.17,36.67,-121.66
dudinka,46.77,47,56,15.28,69.41,86.18
katsuura,93.2,59,20,13.87,33.93,134.5
hokitika,50.46,100,88,3.98,-42.72,170.96
oranjemund,59.82,91,0,1.3,-28.55,16.43
esperance,78.8,83,20,8.05,10.24,-61.45
ulaangom,51.09,88,92,5.1,49.98,92.07
cape canaveral,80.49,94,20,6.93,28.41,-80.6
honiara,78.8,88,75,4.21,-9.43,159.96
ha tinh,84.75,98,92,9.35,18.33,105.9
jijiga,69.18,51,0,8.57,9.35,42.8
rockland,63.21,88,1,6.93,42.13,-70.92
rondonopolis,67.02,60,0,6.78,-16.46,-54.64
kirakira,80.61,100,88,16.28,-10.46,161.92
afzalpur,80.07,84,68,18.75,17.2,76.36
yarada,81.42,99,92,27.36,17.65,83.27
vaitape,79.8,99,88,18.86,-16.52,-151.75
chanderi,82.23,100,44,5.99,24.7,78.12
banda aceh,86.1,64,92,7.78,5.56,95.32
tigil,62.07,84,80,5.21,57.8,158.67
jesup,77.74,88,90,1.97,31.61,-81.89
labuhan,85.92,69,48,3.98,-2.54,115.51
bandarbeyla,79.17,73,0,25.57,9.49,50.81
aguimes,69.8,77,40,28.86,27.91,-15.45
hukuntsi,40.02,86,0,9.46,-23.98,21.76
chernushka,73.95,72,24,11.36,56.5,56.08
hofn,48.12,100,36,4.09,64.25,-15.21
gushikawa,88.72,66,40,19.46,26.35,127.87
dhidhdhoo,82.95,100,64,19.86,6.88,73.1
saint george,71.6,64,20,4.7,39.45,22.34
mahajanga,62.6,77,20,4.7,-15.72,46.32
boyuibe,55.5,77,32,14.72,-20.43,-63.28
leirvik,51.8,93,24,2.24,59.78,5.5
xichang,72.24,71,24,1.19,27.88,102.25
cayenne,73.4,100,44,5.21,4.94,-52.33
tanout,71.79,86,80,10.92,14.97,8.88
ancud,24.9,73,12,2.75,-41.87,-73.83
pemba,64.4,82,40,9.17,-12.97,40.52
robertsport,72.69,100,92,3.31,6.75,-11.37
luanda,71.6,78,75,5.82,-8.83,13.24
petropavlovka,77.1,69,0,9.46,50.61,105.32
mayumba,71.07,96,64,8.68,-3.44,10.65
cimitarra,77.28,77,76,1.74,6.31,-73.95
karratha,86.55,17,0,7.45,-20.74,116.85
yeppoon,80.6,44,75,11.41,-23.13,150.74
karaj,91.42,15,20,6.93,35.81,51.01
turayf,75.2,50,0,6.93,31.68,38.65
palmer,55.4,62,20,13.87,-34.85,139.16
jumla,54.42,93,24,1.19,29.28,82.18
namibe,65.85,99,0,6.33,-15.19,12.15
floro,53.65,93,20,3.36,61.6,5.03
shellbrook,64.4,77,40,2.24,53.22,-106.39
ylivieska,74.4,50,48,4.76,64.07,24.53
nemuro,69.8,88,75,11.41,43.32,145.57
mackay,60.78,77,40,6.93,53.65,-115.58
konstantinovka,70.71,87,24,7.9,47.99,28.86
sept-iles,55.4,76,75,5.82,50.2,-66.38
chingirlau,79.08,55,80,12.93,51.09,54.08
iwaki,89.6,66,75,6.93,37.05,140.89
kapit,93.3,51,0,2.98,2.02,112.94
inhambane,64.4,88,75,11.41,-23.87,35.38
kabala,69.0,97,92,3.87,9.59,-11.55
boundiali,67.74,99,92,5.55,9.53,-6.48
magadan,69.8,37,0,6.71,59.56,150.8
west bay,53.6,87,0,2.24,50.71,-2.76
pedernales,71.07,90,68,5.66,0.07,-80.05
ayia galini,74.34,69,0,6.93,35.1,24.68
vanimo,83.76,100,64,14.94,-2.67,141.3
tigre,51.8,87,75,10.29,-34.42,-58.58
tirat karmel,76.71,74,40,4.7,32.76,34.97
codrington,64.32,59,0,10.25,-28.95,153.24
eirunepe,73.05,96,8,2.86,-6.66,-69.87
hovd,57.27,87,0,3.36,63.83,10.7
mitu,83.76,18,0,2.86,36.2,46.09
ust-tsilma,67.47,75,0,4.54,65.44,52.15
analipsis,73.4,69,0,6.93,35.32,25.57
sioux lookout,65.44,93,90,5.82,50.1,-91.92
beyneu,98.97,28,12,12.59,45.32,55.19
sinop,66.2,88,40,4.7,42.03,35.15
petropavlovsk-kamchatskiy,71.6,64,48,13.42,53.05,158.65
magdagachi,75.75,72,32,3.76,53.45,125.8
grand gaube,71.6,60,75,12.75,-20.01,57.66
darnah,78.45,96,0,20.76,32.77,22.64
tuatapere,52.35,91,32,16.62,-46.13,167.69
edea,75.2,94,75,1.12,3.8,10.13
borovskoy,74.4,73,44,14.38,53.8,64.15
rach gia,83.49,87,68,15.95,10.02,105.08
margate,51.8,50,75,11.41,-43.03,147.26
terrace bay,49.92,79,0,11.25,48.78,-87.1
ayagoz,77.01,32,48,15.05,47.96,80.43
igarka,49.47,60,0,18.75,67.47,86.57
baykit,57.84,52,0,8.79,61.68,96.39
rapid valley,66.56,88,1,10.29,44.06,-103.15
hasaki,93.2,52,20,9.17,35.73,140.83
khani,73.4,83,75,4.7,41.96,42.96
payakumbuh,87.0,65,44,3.2,-0.23,100.63
ust-kalmanka,78.45,53,0,7.78,52.12,83.31
lokoja,70.44,100,92,3.2,7.8,6.74
khudumelapye,36.33,76,0,4.88,-23.91,24.95
nishihara,90.93,59,40,12.75,35.74,139.53
otradnoye,69.8,73,0,6.71,59.77,30.8
soubre,70.98,100,76,3.42,5.79,-6.61
jiayuguan,67.83,76,24,3.76,39.77,98.29
port keats,90.15,34,0,10.36,-14.25,129.55
astoria,59.0,77,40,13.87,46.19,-123.83
oberursel,64.4,55,0,5.82,50.2,8.58
majene,84.75,91,8,11.36,-3.54,118.97
kerema,73.14,100,92,3.2,-7.96,145.78
vila,70.68,73,40,3.36,45.18,8.4
clovis,91.98,26,20,13.87,36.83,-119.7
saint-augustin,64.4,88,0,3.36,44.83,-0.61
reims,62.6,67,0,5.82,49.26,4.03
jatiroto,78.36,87,0,11.48,-7.61,109.46
hami,81.6,47,0,4.99,42.84,93.51
riyadh,86.0,13,0,5.82,24.63,46.72
santa vitoria do palmar,61.44,99,92,12.59,-33.52,-53.37
jackson,77.05,100,40,4.7,35.61,-88.82
lasa,78.37,74,20,3.36,34.92,32.53
dalvik,57.2,87,0,3.36,57.79,14.13
dillon,69.8,32,1,4.7,45.22,-112.64
colesberg,28.5,70,0,3.31,-30.72,25.1
magistralnyy,79.71,59,8,3.42,56.17,107.45
columbia,75.0,73,1,5.77,34.0,-81.03
honggang,94.56,49,44,3.31,29.51,114.87
abu dhabi,92.26,28,0,6.93,24.47,54.37
wamba,70.98,92,12,2.98,2.14,27.99
makakilo city,81.05,61,20,10.29,21.35,-158.09
freeport,85.2,92,68,12.03,26.54,-78.7
port moresby,82.4,78,40,18.34,-9.47,147.16
jiuquan,67.83,76,24,3.76,39.73,98.49
bitung,91.4,52,20,9.17,1.44,125.19
fare,79.62,98,92,18.86,-16.7,-151.02
ballina,58.65,99,92,9.35,54.11,-9.15
quzhou,91.86,56,0,6.67,28.97,118.86
parrita,71.6,78,75,8.05,9.52,-84.33
taltal,43.08,90,0,5.77,-25.41,-70.49
kerrville,82.36,42,1,3.36,30.05,-99.14
constitucion,55.32,92,12,5.1,23.99,-104.67
moerai,75.12,100,64,17.74,-22.43,-151.33
nizwa,98.34,17,32,3.65,22.93,57.53
ouesso,72.33,96,64,2.19,1.61,16.05
dukat,59.28,100,92,2.42,42.44,22.31
kokopo,78.27,100,64,10.47,-4.34,152.27
grande prairie,57.2,93,90,13.87,55.17,-118.79
sosnovo-ozerskoye,61.08,100,92,10.25,52.53,111.54
plattsburgh,57.76,82,1,3.36,44.69,-73.46
shimoda,86.76,74,20,18.34,34.7,138.93
weligama,83.58,81,92,17.52,5.97,80.42
palmares do sul,64.4,100,0,3.36,-30.26,-50.51
srandakan,88.44,53,48,7.67,-7.94,110.25
ofunato,89.6,55,40,4.7,39.11,141.75
fort-shevchenko,81.96,83,0,15.5,44.51,50.26
willmar,64.4,93,90,9.17,45.12,-95.04
lac du bonnet,63.87,100,92,13.38,50.25,-96.06
machilipatnam,84.2,70,90,8.05,16.18,81.14
chilca,41.0,75,20,1.12,-13.22,-72.34
